AnswerId	PromptId	Score1	AnswerText
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj3-l1.qa196	BULB_C_VOLTAGE_EXPLAIN_WHY6	2.0	there is no gap between the positive battery terminal and terminal 6
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj7-l1.qa188	BULB_C_VOLTAGE_EXPLAIN_WHY6	2.0	terminal 6 is connected to the positive terminal
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj8-l1.qa231	BULB_C_VOLTAGE_EXPLAIN_WHY6	2.0	the positive battery terminal is connected to terminal 6
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj9-l1.qa192	BULB_C_VOLTAGE_EXPLAIN_WHY6	2.0	the positive battery terminal is connected to terminal 6.
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj11-l1.qa216	BULB_C_VOLTAGE_EXPLAIN_WHY6	2.0	termonal 6 is connected to the positive battery terminal.
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj13-l1.qa225	BULB_C_VOLTAGE_EXPLAIN_WHY6	2.0	because there is no gap between the positive battery terminal and terminal 6.
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj14-l1.qa212	BULB_C_VOLTAGE_EXPLAIN_WHY6	2.0	Because the positive batter terminal and terminal 6 were connected.
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj14-l1.qa213	BULB_C_VOLTAGE_EXPLAIN_WHY6	2.0	Because the positive battery terminal and terminal 6 were connected.
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj15-l1.qa237	BULB_C_VOLTAGE_EXPLAIN_WHY6	2.0	the positive battery terminal is directly connected to terminal 6
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj19-l1.qa248	BULB_C_VOLTAGE_EXPLAIN_WHY6	0.0	there is a gap between the postive terminal 6
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj19-l1.qa250	BULB_C_VOLTAGE_EXPLAIN_WHY6	1.0	terminal 6 is connected to the difference
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj22-l1.qa212	BULB_C_VOLTAGE_EXPLAIN_WHY6	2.0	the negative battery terminal is separated by a gap from terminal 6
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj22-l1.qa213	BULB_C_VOLTAGE_EXPLAIN_WHY6	2.0	the negative battery terminal is separated by a gap from terminal 6 and bulb c is damaged
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj22-l1.qa214	BULB_C_VOLTAGE_EXPLAIN_WHY6	0.0	the
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj22-l1.qa215	BULB_C_VOLTAGE_EXPLAIN_WHY6	1.0	the negative
