AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj3-l2.qa84	BURNED_BULB_PARALLEL_EXPLAIN_Q2	2.0	bulb a and c will still be contained within a closed path of the battery
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj7-l2.qa87	BURNED_BULB_PARALLEL_EXPLAIN_Q2	2.0	there is still a closed path that contains the battery, bulb a, and bulb c
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj8-l2.qa90	BURNED_BULB_PARALLEL_EXPLAIN_Q2	1.0	C is not within the same path as B
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj8-l2.qa91	BURNED_BULB_PARALLEL_EXPLAIN_Q2	0.0	idk
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj8-l2.qa92	BURNED_BULB_PARALLEL_EXPLAIN_Q2	0.0	"I don""t understand"
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj8-l2.qa93	BURNED_BULB_PARALLEL_EXPLAIN_Q2	0.0	I did
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj10-l2.qa92	BURNED_BULB_PARALLEL_EXPLAIN_Q2	2.0	bulbs a and c are on a closed path with the battery
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj11-l2.qa87	BURNED_BULB_PARALLEL_EXPLAIN_Q2	2.0	bulb a and bulb c are still in a closed [ath with the battery.
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj12-l2.qa93	BURNED_BULB_PARALLEL_EXPLAIN_Q2	2.0	Bulbs A and C will still be on closed paths with the battery
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj13-l2.qa98	BURNED_BULB_PARALLEL_EXPLAIN_Q2	2.0	bulb b is not in the same path of bulbs a and c.
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj14-l2.qa93	BURNED_BULB_PARALLEL_EXPLAIN_Q2	2.0	Bulb A and Bulb C are still contained in closed paths to the battery terminals.
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj15-l2.qa106	BURNED_BULB_PARALLEL_EXPLAIN_Q2	0.0	because that is what i thin k
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj15-l2.qa107	BURNED_BULB_PARALLEL_EXPLAIN_Q2	0.0	i dont knpw
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj15-l2.qa108	BURNED_BULB_PARALLEL_EXPLAIN_Q2	0.0	because terminal is closed
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj18-l2.qa85	BURNED_BULB_PARALLEL_EXPLAIN_Q2	2.0	bulb b is in a separate path.
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj22-l2.qa91	BURNED_BULB_PARALLEL_EXPLAIN_Q2	1.0	there is a closed path
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj24-l2.qa87	BURNED_BULB_PARALLEL_EXPLAIN_Q2	2.0	Bulb B is in a independent path
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj26-l2.qa94	BURNED_BULB_PARALLEL_EXPLAIN_Q2	0.0	god loves us all
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj26-l2.qa95	BURNED_BULB_PARALLEL_EXPLAIN_Q2	0.0	bulbs b and c creat a gap in the path
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj27-l2.qa93	BURNED_BULB_PARALLEL_EXPLAIN_Q2	2.0	because bulbs a and c have their own closed paths
