AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj3-l2.qa78	BURNED_BULB_SERIES_Q2	2.0	because there was a gap in the path
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj7-l2.qa81	BURNED_BULB_SERIES_Q2	1.0	bulbs b and  c were not contained in a closed path
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj8-l2.qa83	BURNED_BULB_SERIES_Q2	2.0	because a damaged bulb creates a gap in the path
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj9-l2.qa79	BURNED_BULB_SERIES_Q2	2.0	bulb a was damaged. bulb a caused a gap in the path. bulbs b and c were no longer in a closed path with the battery.
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj10-l2.qa84	BURNED_BULB_SERIES_Q2	2.0	because it created a gap in the connnection
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj10-l2.qa85	BURNED_BULB_SERIES_Q2	2.0	because lightbulb a created a gap in the connnection
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj11-l2.qa81	BURNED_BULB_SERIES_Q2	2.0	becasue there was a gap created in the circuit.
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj12-l2.qa87	BURNED_BULB_SERIES_Q2	2.0	the path had a gap
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj13-l2.qa90	BURNED_BULB_SERIES_Q2	2.0	there was a gap in the path.
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj14-l2.qa84	BURNED_BULB_SERIES_Q2	2.0	because it created a gap.
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj14-l2.qa85	BURNED_BULB_SERIES_Q2	2.0	because there was a gap.
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj15-l2.qa95	BURNED_BULB_SERIES_Q2	2.0	because the circuit was open
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj15-l2.qa96	BURNED_BULB_SERIES_Q2	0.0	the switches will be on closed paths
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj15-l2.qa97	BURNED_BULB_SERIES_Q2	0.0	the switch is contained in an open path
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj18-l2.qa79	BURNED_BULB_SERIES_Q2	2.0	There was a gap in the circuit.
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj19-l2.qa102	BURNED_BULB_SERIES_Q2	2.0	because it was open path
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj19-l2.qa103	BURNED_BULB_SERIES_Q2	2.0	because bulb a was in a open path
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj22-l2.qa85	BURNED_BULB_SERIES_Q2	2.0	because there was a gap
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj23-l2.qa85	BURNED_BULB_SERIES_Q2	2.0	The path was no longer closed.
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj24-l2.qa81	BURNED_BULB_SERIES_Q2	2.0	there is a gap in the path
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj26-l2.qa84	BURNED_BULB_SERIES_Q2	1.0	the break in the closed path with the battery
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj26-l2.qa85	BURNED_BULB_SERIES_Q2	0.0	the closed path and the battery
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj26-l2.qa86	BURNED_BULB_SERIES_Q2	0.0	no path
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj27-l2.qa85	BURNED_BULB_SERIES_Q2	2.0	it created a gap
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj27-l2.qa86	BURNED_BULB_SERIES_Q2	2.0	bulb a being burnt out created a gap in the path
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj28-l2.qa85	BURNED_BULB_SERIES_Q2	2.0	open path
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj29-l2.qa87	BURNED_BULB_SERIES_Q2	0.0	bulbs a, b and c are contained in a closed path with the battery
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj29-l2.qa88	BURNED_BULB_SERIES_Q2	1.0	a gap was created in the closed path
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj29-l2.qa89	BURNED_BULB_SERIES_Q2	2.0	a gap was created in the circuit
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj30-l2.qa90	BURNED_BULB_SERIES_Q2	2.0	there was a gap in the circut
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj31-l2.qa92	BURNED_BULB_SERIES_Q2	2.0	a b and c are in series
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj33-l2.qa88	BURNED_BULB_SERIES_Q2	2.0	it created a gap in the path
SwitchesBulbsSeries-BURNED_BULB_SERIES_Q2.sbj33-l2.qa89	BURNED_BULB_SERIES_Q2	2.0	lightbulb A created a gap in the path
