AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj3-l1.qa23	CLOSED_PATH_EXPLAIN	0.0	In these diagrams the bulbs are in closed paths
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj7-l1.qa22	CLOSED_PATH_EXPLAIN	0.0	both are closed circuits
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj7-l1.qa23	CLOSED_PATH_EXPLAIN	1.0	both have closed paths
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj8-l1.qa30	CLOSED_PATH_EXPLAIN	0.0	Both 1 and 3 have closed circuits.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj8-l1.qa31	CLOSED_PATH_EXPLAIN	0.0	1 and 3 have both a bulb and a battery in a closed circuit.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj9-l1.qa26	CLOSED_PATH_EXPLAIN	2.0	In 1 and 3, they are complete circuits. The others are not fully closed circuits.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj9-l1.qa27	CLOSED_PATH_EXPLAIN	1.0	In 1 and 3, they are closed paths. The others are not fully closed paths.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj10-l1.qa25	CLOSED_PATH_EXPLAIN	0.0	bulb 1 and 3 will light up
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj10-l1.qa26	CLOSED_PATH_EXPLAIN	1.0	they will light up because they are on a closed path
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj11-l1.qa24	CLOSED_PATH_EXPLAIN	0.0	the bulb is in a closed path, meaning that it is connected to the battery.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj11-l1.qa25	CLOSED_PATH_EXPLAIN	1.0	the bulb is in a closed path.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj12-l1.qa22	CLOSED_PATH_EXPLAIN	0.0	The bulbs are in closed circuits
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj12-l1.qa23	CLOSED_PATH_EXPLAIN	2.0	The paths are closed for the bulbs
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj13-l1.qa26	CLOSED_PATH_EXPLAIN	0.0	because all circuits are in a closed path.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj13-l1.qa27	CLOSED_PATH_EXPLAIN	0.0	because all three circuits are in a closed path.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj14-l1.qa28	CLOSED_PATH_EXPLAIN	0.0	I chose 4 because neither component was in a closed path.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj14-l1.qa29	CLOSED_PATH_EXPLAIN	0.0	Diagram 4 will light up because there are no closed paths.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj15-l1.qa36	CLOSED_PATH_EXPLAIN	0.0	because
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj15-l1.qa37	CLOSED_PATH_EXPLAIN	0.0	because the bulb is in a closed circuit
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj18-l1.qa24	CLOSED_PATH_EXPLAIN	0.0	The bulbs are in closed paths.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj19-l1.qa33	CLOSED_PATH_EXPLAIN	0.0	they are closed circuits
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj19-l1.qa34	CLOSED_PATH_EXPLAIN	1.0	the path is closed
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj22-l1.qa25	CLOSED_PATH_EXPLAIN	0.0	because it is across from the connection
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj22-l1.qa26	CLOSED_PATH_EXPLAIN	0.0	because it is centered
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj23-l1.qa22	CLOSED_PATH_EXPLAIN	2.0	Diagram 1 and have both a battery and light bulb in a closed path.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj24-l1.qa24	CLOSED_PATH_EXPLAIN	1.0	they are closed paths
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj26-l1.qa27	CLOSED_PATH_EXPLAIN	1.0	closed path and there is a battery
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj27-l1.qa27	CLOSED_PATH_EXPLAIN	0.0	Because they are all on closed path circuits.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj27-l1.qa28	CLOSED_PATH_EXPLAIN	0.0	Because they all have closed paths.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj28-l1.qa24	CLOSED_PATH_EXPLAIN	0.0	They have closed circuits
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj28-l1.qa25	CLOSED_PATH_EXPLAIN	1.0	The paths are closed
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj29-l1.qa28	CLOSED_PATH_EXPLAIN	0.0	they are not in closed paths
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj29-l1.qa29	CLOSED_PATH_EXPLAIN	0.0	4
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj29-l1.qa30	CLOSED_PATH_EXPLAIN	0.0	bulb 4 will light up
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj30-l1.qa22	CLOSED_PATH_EXPLAIN	0.0	1 is a closed circut. 3 is a closed circut.  In 5, the battery is closed and the light bulb is connected.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj30-l1.qa23	CLOSED_PATH_EXPLAIN	0.0	In 1 and 3, both the light bulb and battery are in a closed path. In 5, the battery is in the closed path.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj30-l1.qa24	CLOSED_PATH_EXPLAIN	2.0	The battery and light bulb are in a closed path in circuts 1 and 3.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj31-l1.qa24	CLOSED_PATH_EXPLAIN	0.0	it is a closed circuit
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj33-l1.qa26	CLOSED_PATH_EXPLAIN	0.0	in diagrams 1,2, and 3 the lightbulbs are each closed circuits
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj33-l1.qa27	CLOSED_PATH_EXPLAIN	0.0	in diagrams 1,2 and 3 the lightbulbs each have closed paths
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj34-l1.qa22	CLOSED_PATH_EXPLAIN	1.0	the bulbs are all in a closed path
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj35-l1.qa24	CLOSED_PATH_EXPLAIN	0.0	They are in a closed circiut and receiving electricity.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj35-l1.qa25	CLOSED_PATH_EXPLAIN	1.0	It is a closed path so the bulbs are receiving electricity and will light up.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj36-l1.qa25	CLOSED_PATH_EXPLAIN	1.0	because it is a closed path
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj36-l1.qa26	CLOSED_PATH_EXPLAIN	1.0	1 and 3 are both closed paths
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj37-l1.qa22	CLOSED_PATH_EXPLAIN	1.0	the voltage from the battery will reach the bulb and then travels back to the battery
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj37-l1.qa23	CLOSED_PATH_EXPLAIN	1.0	the battery in problem 1 will have the voltage reach the battery and have it travel back to itself
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj38-l1.qa22	CLOSED_PATH_EXPLAIN	2.0	In diagrams 1 and 3 the battery and bulb are in a closed path together.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj39-l1.qa25	CLOSED_PATH_EXPLAIN	0.0	I think the bulb will light up because they are all in closed circuits.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj39-l1.qa26	CLOSED_PATH_EXPLAIN	0.0	I think that the bulb will light up because they are in a closed path.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj40-l1.qa34	CLOSED_PATH_EXPLAIN	0.0	the batteries and bulbs in circuit 1 and 3 are in closed circuits.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj40-l1.qa35	CLOSED_PATH_EXPLAIN	0.0	the batteries and bulbs are connected by wires in circuit 1 and 3.they and closed paths.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj42-l1.qa25	CLOSED_PATH_EXPLAIN	1.0	They are the only ones in a closed path.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj42-l1.qa26	CLOSED_PATH_EXPLAIN	1.0	They are the only ones without gaps in a circuit.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj43-l1.qa24	CLOSED_PATH_EXPLAIN	0.0	they all create a full circut
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj45-l1.qa22	CLOSED_PATH_EXPLAIN	1.0	closed paths exist
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj46-l1.qa25	CLOSED_PATH_EXPLAIN	1.0	Paths are closed for both.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj47-l1.qa30	CLOSED_PATH_EXPLAIN	1.0	Because in diagrams 1, 2, and 3 the bulb is in closed paths
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj48-l1.qa23	CLOSED_PATH_EXPLAIN	0.0	in circuits 1, 2, and 3, each has a battery in a holder, connected to a lightbulb in a holder recieving electricity from the battery
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbj48-l1.qa24	CLOSED_PATH_EXPLAIN	0.0	Circuits 1 and 3 are closed circuits and I believe the bulbs will light up. Circuit 2 has a bettery connected to a bulb in a closed circuit and I believe it will light up as well.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbjb1-l1.qa22	CLOSED_PATH_EXPLAIN	1.0	In a closed path, the battery will ignite the bulb to light up.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbjb2-l1.qa22	CLOSED_PATH_EXPLAIN	0.0	1, 2, 3, and 5.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbjb3-l1.qa24	CLOSED_PATH_EXPLAIN	0.0	They are the only ones where the bulb and battery are both connected.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbjb4-l1.qa22	CLOSED_PATH_EXPLAIN	1.0	Both 1 and 3 are in a closed path with a battery
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbjb5-l1.qa24	CLOSED_PATH_EXPLAIN	2.0	diagrams 1 and 3 are the only two circuits in which both the battery and the bulb are in a closed path.
SwitchesBulbsSeries-CLOSED_PATH_EXPLAIN.sbjb6-l1.qa22	CLOSED_PATH_EXPLAIN	0.0	Both the bulbs in one and three are in a closed circuit.
