AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj3-l1.qa36	CONDITIONS_FOR_BULB_TO_LIGHT	2.0	a complete circuit of electricty
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj3-l1.qa37	CONDITIONS_FOR_BULB_TO_LIGHT	1.0	both the bulb and battery must have a closed path
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj3-l1.qa38	CONDITIONS_FOR_BULB_TO_LIGHT	1.0	the battery should connect to the bulb at different terminals
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj7-l1.qa37	CONDITIONS_FOR_BULB_TO_LIGHT	1.0	closed path, connected to a battery
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj7-l1.qa40	CONDITIONS_FOR_BULB_TO_LIGHT	0.0	battery is  in  a holder
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj8-l1.qa50	CONDITIONS_FOR_BULB_TO_LIGHT	0.0	connection to a switch
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj8-l1.qa51	CONDITIONS_FOR_BULB_TO_LIGHT	1.0	connection to a battery
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj8-l1.qa52	CONDITIONS_FOR_BULB_TO_LIGHT	0.0	closed circuit with a battery
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj9-l1.qa41	CONDITIONS_FOR_BULB_TO_LIGHT	2.0	The battery and bulb need to be in a closed path together.
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj9-l1.qa42	CONDITIONS_FOR_BULB_TO_LIGHT	2.0	A battery and bulb in a closed path will light the bulb.
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj9-l1.qa43	CONDITIONS_FOR_BULB_TO_LIGHT	2.0	A battery should connect to a bulb in a closed path.
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj10-l1.qa43	CONDITIONS_FOR_BULB_TO_LIGHT	2.0	the conditions are a battery and a closed path
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj10-l1.qa44	CONDITIONS_FOR_BULB_TO_LIGHT	1.0	a battery and a closed path
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj11-l1.qa54	CONDITIONS_FOR_BULB_TO_LIGHT	1.0	a battery connected to each side of the lightbulb.
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj11-l1.qa55	CONDITIONS_FOR_BULB_TO_LIGHT	2.0	a battery in a closed path with a lightbulb.
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj12-l1.qa38	CONDITIONS_FOR_BULB_TO_LIGHT	2.0	A closed path with a battery and bulb
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj13-l1.qa44	CONDITIONS_FOR_BULB_TO_LIGHT	0.0	a closed circuit with a positive and a negative connection.
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj13-l1.qa45	CONDITIONS_FOR_BULB_TO_LIGHT	1.0	"a battery""s negative and positive connection to the light bulb."
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj14-l1.qa44	CONDITIONS_FOR_BULB_TO_LIGHT	1.0	Both components need to be in closed paths.
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj15-l1.qa60	CONDITIONS_FOR_BULB_TO_LIGHT	1.0	a closed circuit path for the buld as well as a working battery and a closed circuit path for the battery
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj15-l1.qa61	CONDITIONS_FOR_BULB_TO_LIGHT	1.0	a working battery
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj18-l1.qa37	CONDITIONS_FOR_BULB_TO_LIGHT	2.0	The bulb must be in a closed path. The bulb must be connected to both battery terminals.
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj18-l1.qa38	CONDITIONS_FOR_BULB_TO_LIGHT	2.0	The bulb must be in a closed path. The light bulb terminals must be connected to both battery terminals.
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj18-l1.qa39	CONDITIONS_FOR_BULB_TO_LIGHT	2.0	The light bulb must be in a closed path with a connected battery.
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj19-l1.qa51	CONDITIONS_FOR_BULB_TO_LIGHT	1.0	a closed path
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj19-l1.qa52	CONDITIONS_FOR_BULB_TO_LIGHT	0.0	negative and positive output
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj19-l1.qa53	CONDITIONS_FOR_BULB_TO_LIGHT	2.0	complete circuit
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj22-l1.qa42	CONDITIONS_FOR_BULB_TO_LIGHT	1.0	a connection to the battery
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj22-l1.qa43	CONDITIONS_FOR_BULB_TO_LIGHT	0.0	a component to the battery
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj22-l1.qa44	CONDITIONS_FOR_BULB_TO_LIGHT	0.0	a closed component to the battery
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj23-l1.qa35	CONDITIONS_FOR_BULB_TO_LIGHT	2.0	Both the light bulb and battery must be in a closed path circuit.
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj23-l1.qa36	CONDITIONS_FOR_BULB_TO_LIGHT	2.0	Both the light bulb and battery must be in a closed path.
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj24-l1.qa37	CONDITIONS_FOR_BULB_TO_LIGHT	1.0	terminals must connect to correct spots
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj24-l1.qa38	CONDITIONS_FOR_BULB_TO_LIGHT	1.0	a closed path is required
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj24-l1.qa39	CONDITIONS_FOR_BULB_TO_LIGHT	0.0	"don""t know"
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj24-l1.qa40	CONDITIONS_FOR_BULB_TO_LIGHT	1.0	a batter is required
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj26-l1.qa48	CONDITIONS_FOR_BULB_TO_LIGHT	1.0	a battery and a connection
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj26-l1.qa49	CONDITIONS_FOR_BULB_TO_LIGHT	1.0	a bulb
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj26-l1.qa50	CONDITIONS_FOR_BULB_TO_LIGHT	1.0	a path , a bulb , and a battery
