AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj3-l1.qa88	DAMAGED_BUILD_EXPLAIN_Q	2.0	there will be a gap at bulb b, thus affecting the rest of the circuit
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj3-l1.qa89	DAMAGED_BUILD_EXPLAIN_Q	2.0	if bulb b is damaged there will be a gap in the path at that bulb
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj7-l1.qa85	DAMAGED_BUILD_EXPLAIN_Q	2.0	if bulb b is off there will be a gap in the path
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj8-l1.qa107	DAMAGED_BUILD_EXPLAIN_Q	0.0	The bulb does not effect the others
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj8-l1.qa108	DAMAGED_BUILD_EXPLAIN_Q	0.0	bulb B does not effect the other bulbs
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj9-l1.qa83	DAMAGED_BUILD_EXPLAIN_Q	2.0	If bulb b is damaged, then the circuit will be incomplete.
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj10-l1.qa104	DAMAGED_BUILD_EXPLAIN_Q	2.0	there is a gap in the connection
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj11-l1.qa108	DAMAGED_BUILD_EXPLAIN_Q	2.0	the damaged bulb creates a gap in the circuit.
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj12-l1.qa80	DAMAGED_BUILD_EXPLAIN_Q	2.0	There will be a gap in the path
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj13-l1.qa100	DAMAGED_BUILD_EXPLAIN_Q	0.0	there is no path through the connection of bulb b.
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj13-l1.qa101	DAMAGED_BUILD_EXPLAIN_Q	0.0	there is no path through bulb b.
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj14-l1.qa97	DAMAGED_BUILD_EXPLAIN_Q	2.0	If bulb B is damaged a gap is created.
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj15-l1.qa118	DAMAGED_BUILD_EXPLAIN_Q	2.0	actually bulbs a and c will be off because the path will no longer be cloed
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj18-l1.qa87	DAMAGED_BUILD_EXPLAIN_Q	2.0	There will be a gap in the path.
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj19-l1.qa111	DAMAGED_BUILD_EXPLAIN_Q	0.0	there is no path for the other bulbs
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj19-l1.qa112	DAMAGED_BUILD_EXPLAIN_Q	0.0	A and B are off
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj22-l1.qa102	DAMAGED_BUILD_EXPLAIN_Q	1.0	there will be a gap between bulbs
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj22-l1.qa103	DAMAGED_BUILD_EXPLAIN_Q	1.0	there will be a gap between the bulbs
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj23-l1.qa88	DAMAGED_BUILD_EXPLAIN_Q	2.0	There will be a gap in the circuit.
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj24-l1.qa95	DAMAGED_BUILD_EXPLAIN_Q	2.0	gap in bulb b
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj24-l1.qa96	DAMAGED_BUILD_EXPLAIN_Q	2.0	bulb B has a gap
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj27-l1.qa95	DAMAGED_BUILD_EXPLAIN_Q	2.0	there is a gap
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj28-l1.qa95	DAMAGED_BUILD_EXPLAIN_Q	0.0	there is no path between the bulb-holders
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj28-l1.qa96	DAMAGED_BUILD_EXPLAIN_Q	0.0	there is no path
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj28-l1.qa97	DAMAGED_BUILD_EXPLAIN_Q	0.0	there is no path between the bulbs
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj29-l1.qa100	DAMAGED_BUILD_EXPLAIN_Q	2.0	damaged bulb b creates a gap
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj30-l1.qa87	DAMAGED_BUILD_EXPLAIN_Q	2.0	There is a gap.
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj31-l1.qa90	DAMAGED_BUILD_EXPLAIN_Q	2.0	the path is not closed anymore
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj33-l1.qa87	DAMAGED_BUILD_EXPLAIN_Q	2.0	if bulb B is damaged, the path will have a gap
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj34-l1.qa81	DAMAGED_BUILD_EXPLAIN_Q	0.0	If bulb B is damaged, there is no path
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj34-l1.qa82	DAMAGED_BUILD_EXPLAIN_Q	0.0	There is no path through bulb B
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj35-l1.qa90	DAMAGED_BUILD_EXPLAIN_Q	2.0	There will be a gap.
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj36-l1.qa92	DAMAGED_BUILD_EXPLAIN_Q	2.0	there is a gap in the closed path
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj37-l1.qa81	DAMAGED_BUILD_EXPLAIN_Q	2.0	there is a gap in the circuit
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj38-l1.qa83	DAMAGED_BUILD_EXPLAIN_Q	2.0	if bulb B is damaged there will be a gap in the curcuit
SwitchesBulbsSeries-DAMAGED_BUILD_EXPLAIN_Q.sbj39-l1.qa102	DAMAGED_BUILD_EXPLAIN_Q	0.0	?
