AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsSeries-DAMAGED_BULB_EXPLAIN_2_Q.sbj3-l1.qa97	DAMAGED_BULB_EXPLAIN_2_Q	2.0	a damaged bulb causes a gap at the blub
SwitchesBulbsSeries-DAMAGED_BULB_EXPLAIN_2_Q.sbj3-l1.qa99	DAMAGED_BULB_EXPLAIN_2_Q	0.0	a bulb creates a closed path and if the bulb is damaged so is the path
SwitchesBulbsSeries-DAMAGED_BULB_EXPLAIN_2_Q.sbj7-l1.qa93	DAMAGED_BULB_EXPLAIN_2_Q	2.0	it creates a gap in the path
SwitchesBulbsSeries-DAMAGED_BULB_EXPLAIN_2_Q.sbj8-l1.qa116	DAMAGED_BULB_EXPLAIN_2_Q	0.0	I am not sure
SwitchesBulbsSeries-DAMAGED_BULB_EXPLAIN_2_Q.sbj8-l1.qa117	DAMAGED_BULB_EXPLAIN_2_Q	2.0	Because it opens the path
SwitchesBulbsSeries-DAMAGED_BULB_EXPLAIN_2_Q.sbj9-l1.qa93	DAMAGED_BULB_EXPLAIN_2_Q	2.0	The damaged bulb creates a gap in the path.
SwitchesBulbsSeries-DAMAGED_BULB_EXPLAIN_2_Q.sbj11-l1.qa118	DAMAGED_BULB_EXPLAIN_2_Q	2.0	because it creates a gap in the circuit.
SwitchesBulbsSeries-DAMAGED_BULB_EXPLAIN_2_Q.sbj12-l1.qa88	DAMAGED_BULB_EXPLAIN_2_Q	2.0	A damaged bulb creates a gap in the path
SwitchesBulbsSeries-DAMAGED_BULB_EXPLAIN_2_Q.sbj13-l1.qa111	DAMAGED_BULB_EXPLAIN_2_Q	2.0	it creates a gap in the circuit.
SwitchesBulbsSeries-DAMAGED_BULB_EXPLAIN_2_Q.sbj14-l1.qa105	DAMAGED_BULB_EXPLAIN_2_Q	2.0	Because a damaged bulb has a gap.
SwitchesBulbsSeries-DAMAGED_BULB_EXPLAIN_2_Q.sbj14-l1.qa106	DAMAGED_BULB_EXPLAIN_2_Q	2.0	Because a damaged bulb will have a gap.
SwitchesBulbsSeries-DAMAGED_BULB_EXPLAIN_2_Q.sbj14-l1.qa107	DAMAGED_BULB_EXPLAIN_2_Q	0.0	Because a bulb creates electricity.
SwitchesBulbsSeries-DAMAGED_BULB_EXPLAIN_2_Q.sbj14-l1.qa109	DAMAGED_BULB_EXPLAIN_2_Q	2.0	Because it has a gap.
SwitchesBulbsSeries-DAMAGED_BULB_EXPLAIN_2_Q.sbj15-l1.qa126	DAMAGED_BULB_EXPLAIN_2_Q	2.0	because the path is no longer closed
SwitchesBulbsSeries-DAMAGED_BULB_EXPLAIN_2_Q.sbj19-l1.qa120	DAMAGED_BULB_EXPLAIN_2_Q	1.0	it interupts the path
