AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj3-l1.qa101	DAMAGED_BULB_SWITCH_Q	2.0	it acts in the same manner
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj3-l1.qa102	DAMAGED_BULB_SWITCH_Q	2.0	its acts the same
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj3-l1.qa103	DAMAGED_BULB_SWITCH_Q	2.0	the bulb creates a gap and so does an open switch
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj7-l1.qa95	DAMAGED_BULB_SWITCH_Q	2.0	it acts the same way
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj7-l1.qa96	DAMAGED_BULB_SWITCH_Q	2.0	they both create a gap in the path
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj8-l1.qa119	DAMAGED_BULB_SWITCH_Q	0.0	a damaged bulb creates a gap. an open switch creates in incomplete path.
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj8-l1.qa120	DAMAGED_BULB_SWITCH_Q	0.0	a damaged bulb creates a gap while an open switch creates a incomplete path.
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj8-l1.qa121	DAMAGED_BULB_SWITCH_Q	0.0	a damaged bulb creates a gap while and open switch creates an incomplete circuit
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj8-l1.qa122	DAMAGED_BULB_SWITCH_Q	1.0	An open switch causes an incomplete circuit
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj9-l1.qa95	DAMAGED_BULB_SWITCH_Q	2.0	A damaged bulb and open switch created gaps in the path.
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj10-l1.qa114	DAMAGED_BULB_SWITCH_Q	2.0	they are the same
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj11-l1.qa120	DAMAGED_BULB_SWITCH_Q	0.0	the connect the circuit.
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj11-l1.qa121	DAMAGED_BULB_SWITCH_Q	2.0	they create gaps in the circuit.
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj12-l1.qa90	DAMAGED_BULB_SWITCH_Q	2.0	Same effect
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj12-l1.qa91	DAMAGED_BULB_SWITCH_Q	2.0	Both create a gap in the path
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj13-l1.qa113	DAMAGED_BULB_SWITCH_Q	1.0	it creates a gap.
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj13-l1.qa114	DAMAGED_BULB_SWITCH_Q	1.0	it is a gap in the circuit.
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj14-l1.qa111	DAMAGED_BULB_SWITCH_Q	1.0	They both have opened paths.
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj14-l1.qa112	DAMAGED_BULB_SWITCH_Q	2.0	They both have gaps.
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj15-l1.qa128	DAMAGED_BULB_SWITCH_Q	2.0	both dont allow for a closed path
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj15-l1.qa129	DAMAGED_BULB_SWITCH_Q	2.0	both create a gap
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj18-l1.qa97	DAMAGED_BULB_SWITCH_Q	2.0	It acts the same.
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj18-l1.qa98	DAMAGED_BULB_SWITCH_Q	2.0	It is the same.
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj18-l1.qa99	DAMAGED_BULB_SWITCH_Q	2.0	A damaged bulb is the same as an open switch.
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj18-l1.qa100	DAMAGED_BULB_SWITCH_Q	2.0	A damaged bulb and an open switch are the same.
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj19-l1.qa127	DAMAGED_BULB_SWITCH_Q	1.0	creates a gap
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj19-l1.qa128	DAMAGED_BULB_SWITCH_Q	1.0	open path
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj19-l1.qa129	DAMAGED_BULB_SWITCH_Q	1.0	it creates a gap and makes a open path
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj22-l1.qa113	DAMAGED_BULB_SWITCH_Q	2.0	it is the same. they both create gaps
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj22-l1.qa115	DAMAGED_BULB_SWITCH_Q	2.0	the bulb and the switch create gaps
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj23-l1.qa98	DAMAGED_BULB_SWITCH_Q	2.0	It is very similar.
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj23-l1.qa99	DAMAGED_BULB_SWITCH_Q	2.0	They both create a gap in the circuit.
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj24-l1.qa106	DAMAGED_BULB_SWITCH_Q	2.0	it is like an open switch
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj24-l1.qa107	DAMAGED_BULB_SWITCH_Q	2.0	they are both open
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj24-l1.qa108	DAMAGED_BULB_SWITCH_Q	2.0	each will create an open path in circuit
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj26-l1.qa119	DAMAGED_BULB_SWITCH_Q	2.0	the same
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj27-l1.qa105	DAMAGED_BULB_SWITCH_Q	2.0	it is the same
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj27-l1.qa106	DAMAGED_BULB_SWITCH_Q	2.0	they both create a gap
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj29-l1.qa110	DAMAGED_BULB_SWITCH_Q	2.0	both can be gaps in a circuit
SwitchesBulbsSeries-DAMAGED_BULB_SWITCH_Q.sbj30-l1.qa97	DAMAGED_BULB_SWITCH_Q	2.0	Same.
