AnswerId	PromptId	Score1	AnswerText
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj3-l1.qa223	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	2.0	when the reading of the multimeter changes
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj7-l1.qa212	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	2.0	the voltage would change
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj8-l1.qa260	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	0.0	0 v
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj8-l1.qa261	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	0.0	when the meter reads that it has 0 V
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj8-l1.qa262	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	2.0	there is a change in voltage
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj9-l1.qa219	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	2.0	There will be a difference between voltage.
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj9-l1.qa220	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	2.0	There will be an electrical state change between two terminals.
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj9-l1.qa221	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	2.0	there will be a change in voltage between two terminals.
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj10-l1.qa250	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	1.0	when the multimeter measures 0 volts
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj11-l1.qa240	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	2.0	where the voltage changes
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj11-l1.qa241	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	2.0	there is a change in the voltage.
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj12-l1.qa213	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	2.0	When the voltage indicates the place where an electrical state changes due to a damaged bulb
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj12-l1.qa214	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	2.0	voltage indicates the place where an electrical state changes from non-zero to zero
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj13-l1.qa254	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	0.0	there would be 0.00 v
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj13-l1.qa255	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	0.0	there would be a reading of 0.00 v between the positive battery terminal and the bulb terminal.
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj13-l1.qa256	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	0.0	there is a change in voltage between the battery terminal and the bulb terminal.
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj14-l1.qa239	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	0.0	when the voltage reads 0.00 v
