AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj3-l2.qa133	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	2.0	bulb a and c are contained in different paths with the battery
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj7-l2.qa136	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	2.0	Bulb A and Bulb C are contained in different paths with the battery.
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj8-l2.qa148	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	2.0	contained in different paths with the battery
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj9-l2.qa139	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	2.0	bulbs a and c are contained in different paths with the battery.
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj10-l2.qa145	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	2.0	bulbs a and c are contained in different paths with the battery
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj11-l2.qa143	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	2.0	bulbs a and c are containe din diffrent paths with the battery.
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj11-l2.qa144	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	2.0	bulb a and bulb b are containe4d in different paths with the battery.
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj11-l2.qa145	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	2.0	bulb a and bulb c are contained in different paths with the bttery.
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj12-l2.qa152	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	2.0	Bulb A and bulb C are contained in different paths with the battery
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj13-l2.qa158	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	0.0	bulbs b and c are contiained in the the same path with the battery.
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj13-l2.qa159	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	0.0	bulbs b and c are contained in the same closed path.
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj13-l2.qa160	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	0.0	i dont know
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj13-l2.qa161	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	0.0	i dont know.
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj14-l2.qa150	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	2.0	They are not contained on the same path
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj15-l2.qa170	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	2.0	because bulbs A and C are contained in different paths with the battery
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj19-l2.qa172	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	0.0	Bulb A and Bulb C are contained in the same path
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj19-l2.qa173	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	0.0	the same paths that are parralell to one another
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj22-l2.qa150	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	2.0	they are not in the same closed path
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj24-l2.qa143	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	2.0	seperate paths
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj24-l2.qa144	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	2.0	different paths with the battery
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj24-l2.qa145	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	2.0	Bulb C is contained in a different path then bulb A
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2.sbj26-l2.qa159	GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2	2.0	they are on seperate closed paths
