AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2.sbj3-l2.qa130	GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2	2.0	they are contained in different closed paths
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2.sbj7-l2.qa133	GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2	2.0	if  bulb a is damaged, bulb c is not affected.
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2.sbj8-l2.qa144	GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2	0.0	they are not within a closed path
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2.sbj8-l2.qa145	GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2	2.0	bulb a and c are not contained within the same closed path
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2.sbj9-l2.qa136	GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2	2.0	bulbs a, b, and c are not contained in the same closed path.
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2.sbj10-l2.qa142	GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2	2.0	bulbs a b and c are on seperate paths
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2.sbj11-l2.qa138	GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2	2.0	bulb a, bulb b, and bulb c are contained in differentclosed paths.
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2.sbj12-l2.qa147	GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2	2.0	Bulb A, bulb B and bulb C are in different closed paths.
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2.sbj12-l2.qa148	GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2	2.0	Bulb A, bulb B and bulb C are contained in differnt paths.
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2.sbj12-l2.qa149	GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2	1.0	bulb a will not affect bulbs b and c
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2.sbj13-l2.qa155	GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2	2.0	bulbs a, b and c are not contained in the same closed path.
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2.sbj14-l2.qa147	GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2	2.0	They are not contained in the same path.
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2.sbj15-l2.qa166	GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2	2.0	because bulbs A and C are not contained in the same closed paths
