AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj3-l2.qa125	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	2.0	they are contained within the same path
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj3-l2.qa126	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	2.0	bulb c and a are in the same path. and affect one another
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj3-l2.qa127	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	2.0	bulb c and a are contained in the same closed path
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj7-l2.qa129	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	2.0	damaging one turns off the other
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj7-l2.qa130	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	2.0	if bulb a is damaged, bulb c turns off.
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj8-l2.qa141	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	2.0	contained within the same closed path
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj9-l2.qa131	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	1.0	bulbs a and c affect each other.
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj9-l2.qa132	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	1.0	bulb a affects bulb c. bulb c affects bulb a.
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj10-l2.qa135	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	2.0	they are both on the same path
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj10-l2.qa139	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	2.0	bulbs a b and c are on a closed path
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj11-l2.qa133	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	1.0	removing bulb a will affect bulb c
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj11-l2.qa134	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	1.0	bulb a affects bulb c
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj12-l2.qa142	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	1.0	they are on a path
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj12-l2.qa143	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	1.0	they all affect each other
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj12-l2.qa144	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	1.0	bulbs a, b, and c are on a path with the battery
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj13-l2.qa150	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	0.0	if bulb a burns out if affects bulbs b and c.
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj13-l2.qa152	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	1.0	bulbs a, b, and c are all in the same path.
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj14-l2.qa142	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	0.0	removing one bulb shuts off the other.
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj14-l2.qa143	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	1.0	the path is closed
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj15-l2.qa162	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	2.0	because they are in the same path
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj15-l2.qa163	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	0.0	that is all
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj18-l2.qa128	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	2.0	Bulbs A and C are in the same closed path with the battery.
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj19-l2.qa161	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	0.0	the are on the same wire
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj19-l2.qa162	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	1.0	they are not parralel
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj19-l2.qa163	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	2.0	they have the same path
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj22-l2.qa144	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	2.0	they are in the same closed path but not next to each other
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj23-l2.qa134	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	2.0	They are in the same path.
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj23-l2.qa136	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	0.0	That is basically what I said sir.
SwitchesBulbsSeries-GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q.sbj24-l2.qa130	GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q	1.0	If one bulb is burns out, then they all stop
