AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj3-l2.qa109	HYBRID_BURNED_OUT_WHY_Q3	2.0	if the damaged bulb and the other bulb are contained within the same path
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj7-l2.qa113	HYBRID_BURNED_OUT_WHY_Q3	2.0	if it is contained in the same path
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj8-l2.qa123	HYBRID_BURNED_OUT_WHY_Q3	2.0	if it is in the same path
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj9-l2.qa114	HYBRID_BURNED_OUT_WHY_Q3	2.0	if the damaged/ burned out bulb is in a path with another bulb and the battery, then the damaged/ burned out bulb will turn the other bulb off.
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj9-l2.qa115	HYBRID_BURNED_OUT_WHY_Q3	2.0	if the damaged bulb is in a closed path with another bulb.
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj10-l2.qa119	HYBRID_BURNED_OUT_WHY_Q3	2.0	if the damaged bulb is on the same closed path as the other bulb
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj10-l2.qa120	HYBRID_BURNED_OUT_WHY_Q3	1.0	if the damaged bulb is on the same closed path with the battery
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj11-l2.qa118	HYBRID_BURNED_OUT_WHY_Q3	2.0	if the damaged bulb is in the same closed path with the battery.
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj12-l2.qa125	HYBRID_BURNED_OUT_WHY_Q3	2.0	a damaged bulb will affect another bulb if they are on the same path
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj13-l2.qa129	HYBRID_BURNED_OUT_WHY_Q3	0.0	the other bulb will not light.
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj13-l2.qa130	HYBRID_BURNED_OUT_WHY_Q3	1.0	there will be a gap in the path.
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj13-l2.qa131	HYBRID_BURNED_OUT_WHY_Q3	0.0	"i don""t know."
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj13-l2.qa132	HYBRID_BURNED_OUT_WHY_Q3	1.0	there is a gap in the path of the bulb terminal.
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj14-l2.qa122	HYBRID_BURNED_OUT_WHY_Q3	2.0	if the damaged bulb is in the same path as the other bulb.
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj14-l2.qa123	HYBRID_BURNED_OUT_WHY_Q3	2.0	They are on the same paths.
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj15-l2.qa143	HYBRID_BURNED_OUT_WHY_Q3	0.0	the bulb will be burned out because the terminals
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj15-l2.qa144	HYBRID_BURNED_OUT_WHY_Q3	0.0	not right now
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj15-l2.qa146	HYBRID_BURNED_OUT_WHY_Q3	1.0	the bulb is contained in the bath
