AnswerId	PromptId	Score1	AnswerText
II.13b.400.1	II_13b	1.0	One has it one way and the other one the different way.
II.13b.406.1	II_13b	1.0	One facing the other way.
II.13b.420.1	II_13b	0.0	They are different thumbs of people.
II.13b.428.1	II_13b	0.0	Is not the same.
II.13b.431.1	II_13b	1.0	The 2 loops is pointing in different directions.
II.13b.432.1	II_13b	1.0	They are facing different ways.
II.13b.442.1	II_13b	0.0	Some are loop, arch, whorled.
II.13b.451.1	II_13b	1.0	One is going left the other is going right.
II.13b.460.1	II_13b	2.0	One loop is on the left, the other loop is on the right.
II.13b.464.1	II_13b	2.0	The loops go in different directions.
II.13b.465.1	II_13b	2.0	One loop is coming from the left and the other one the right.
II.13b.470.1	II_13b	0.0	They have different shapes.
II.13b.474.1	II_13b	2.0	One is left the other is right.
II.13b.482.1	II_13b	1.0	They are facing different directions.
II.13b.486.1	II_13b	1.0	The loops are going different ways.
II.13b.495.1	II_13b	1.0	They are both facing a different direction.
II.13b.501.1	II_13b	2.0	They are going different directions.
II.13b.507.1	II_13b	1.0	One loop goes left and the other goes right.
II.13b.522.1	II_13b	1.0	One is going left and the same.
II.13b.532.1	II_13b	0.0	Because they are the same and they are loop.
II.13b.534.1	II_13b	0.0	The first finger look thinner than the 2 one.
II.13b.535.1	II_13b	1.0	They are not in the same place.
II.13b.540.1	II_13b	2.0	A has its loop on the left and right.
II.13b.541.1	II_13b	0.0	Answer and questions.
II.13b.576.1	II_13b	1.0	Loop are facing different direction.
II.13b.579.1	II_13b	2.0	They go different direction.
II.13b.581.1	II_13b	1.0	They one are in different directions.
II.13b.593.1	II_13b	2.0	The loops are coming from different sides.
II.13b.594.1	II_13b	1.0	They are facing different ways.
II.13b.597.1	II_13b	0.0	One of them is darker than the other.
II.13b.604.1	II_13b	0.0	One has more ridges.
II.13b.605.1	II_13b	2.0	They are facing different ways.
II.13b.606.1	II_13b	0.0	They are flipped around.
II.13b.613.1	II_13b	0.0	On the first one the middle is light and the second one is dark in the middle.
II.13b.616.1	II_13b	0.0	The first one a man print and the second kid.
II.13b.531.1	II_13b	1.0	The loop are go different.
II.13b.543.1	II_13b	0.0	On his A arch.
II.13b.580.1	II_13b	0.0	One is lighter than the other.
II.13b.601.1	II_13b	1.0	They are going different directions.
