AnswerId	PromptId	Score1	AnswerText
LF.28a2.381.1	LF_28a2	1.0	The minutes and seconds of when the events happened.
LF.28a2.403.1	LF_28a2	1.0	What time everything happened.
LF.28a2.412.1	LF_28a2	0.0	Whether it is slope or not.
LF.28a2.416.1	LF_28a2	1.0	That how much is the land that moved.
LF.28a2.422.1	LF_28a2	2.0	The information I got from the stream table but not from the stream tables are when earth materials slump and hole under the water source.
LF.28a2.430.1	LF_28a2	0.0	What the who form.
LF.28a2.432.1	LF_28a2	0.0	More info of the experiment.
LF.28a2.472.1	LF_28a2	1.0	When the event happens and time between them.
LF.28a2.473.1	LF_28a2	1.0	On the stream table logs show when each event happened on the map show where each events looks like.
LF.28a2.474.1	LF_28a2	1.0	You can get information and time of how fast where and how.
LF.28a2.522.1	LF_28a2	1.0	Clay sand pebbles.
LF.28a2.525.1	LF_28a2	1.0	What time something happened.
LF.28a2.556.1	LF_28a2	2.0	In a log it tells how is the canyons, deltas, erosions are happening at times. And it shows what the important times are there.
LF.28a2.569.1	LF_28a2	1.0	On the stream table log I got the times of everything.
LF.28a2.595.1	LF_28a2	1.0	When important events happened.
LF.28a2.596.1	LF_28a2	1.0	You get from a stream table log is a log that tells main events in a certain time and not from a stream table map.
LF.28a2.600.1	LF_28a2	1.0	You get the time in which things happened.
LF.28a2.608.1	LF_28a2	1.0	You get what time an important event happened.
LF.28a2.688.1	LF_28a2	1.0	You can see when all the important happened.
LF.28a2.743.1	LF_28a2	1.0	You get a chart telling you what happened during the time periods.
LF.28a2.752.1	LF_28a2	1.0	You get to see how long it took.
LF.28a2.778.1	LF_28a2	0.0	They explain it in words instead of using pictures.
LF.28a2.808.1	LF_28a2	2.0	The time the erosion and deposition happens.
LF.28a2.826.1	LF_28a2	1.0	You can see what time the events occurred.
LF.28a2.839.1	LF_28a2	0.0	The information I get from the stream table logs that I do not get from the maps is how long it took for it to form.
LF.28a2.841.1	LF_28a2	1.0	Elapsed time.
LF.28a2.845.1	LF_28a2	1.0	The information that you get from stream table logs rather from stream table maps is a log showing you the events of how the slope started from beginning to end.
LF.28a2.846.1	LF_28a2	1.0	What you get from the logs are the times.
LF.28a2.855.1	LF_28a2	1.0	Stream table logs show time while maps do not.
LF.28a2.873.1	LF_28a2	0.0	The information you get is that you do not see the hole in the materials sand.
LF.28a2.885.1	LF_28a2	1.0	You cannot see in the maps, the time where the things happen.
LF.28a2.886.1	LF_28a2	1.0	The time it happens.
LF.28a2.923.1	LF_28a2	0.0	The information that you do get is what happens and what form.
LF.28a2.928.1	LF_28a2	1.0	The information I did not get from the stream table logs that I did not get from the stream table maps was the events in order of time.
LF.28a2.929.1	LF_28a2	0.0	The information you get from a stream table log that you do not get on a stream table map are the keys that tells you what is what.
LF.28a2.931.1	LF_28a2	0.0	Is that the stream table log is much straight and more details.
LF.28a2.435.1	LF_28a2	1.0	What time the things happen.
LF.28a2.480.1	LF_28a2	1.0	It tells you when things happened.
LF.28a2.810.1	LF_28a2	0.0	Water flows faster.
LF.28a2.814.1	LF_28a2	1.0	The times, as well as things that have to do with the time, and observations you cannot draw.
