AnswerId	PromptId	Score1	AnswerText
MS.39.105.1	MS_39	2.0	You might get more medicine than you needed.
MS.39.107.1	MS_39	2.0	Because then the tallies that you use will not make sense.
MS.39.110.1	MS_39	2.0	They use it all around the world. And it is important.
MS.39.113.1	MS_39	2.0	If you do not use a standard unit you might not get the right answer you may not even get one that is close.
MS.39.141.1	MS_39	1.0	Last time we were using our hand to measure the table and our hand we small and some of our kids was big.
MS.39.144.1	MS_39	2.0	If you do not use one you and your partner will not get accurate answers.
MS.39.153.1	MS_39	0.0	So you can find the actual answer to a question that you have.
MS.39.172.1	MS_39	2.0	It is important to use a standard unit of measurement because if you do not it will not be correct.
MS.39.174.1	MS_39	1.0	Because if you do not you will get the wrong measurement.
MS.39.190.1	MS_39	2.0	Because if you do not use it you may get the wrong answer.
MS.39.276.1	MS_39	0.0	We use standard units because if somebody makes bottles of water the put at the bottom how many liters it is.
MS.39.278.1	MS_39	2.0	So everyone would get the same answers. It is the same for everybody.
MS.39.294.1	MS_39	2.0	I think because if we do not use a standard unit we would get the answer wrong.
MS.39.311.1	MS_39	2.0	Because it will help a lot. It will never change. It is the same all over the world too.
MS.39.322.1	MS_39	1.0	You can make it too long or too short if you do not do it.
MS.39.347.1	MS_39	1.0	So you can get the measurement the same thing as everyone else.
MS.39.354.1	MS_39	1.0	So you can get the best answers. You need it because you will end up with 2 different answers.
MS.39.381.1	MS_39	2.0	Because if you do not use a standard you get the answer wrong.
MS.39.387.1	MS_39	2.0	So everybody agrees on it.
MS.39.393.1	MS_39	0.0	Because you might not know how much it is!
MS.39.400.1	MS_39	0.0	Because if you had no standard of measurement you could not measure anything.
MS.39.417.1	MS_39	2.0	Because if you use paperclips that would be wrong because they come in different sizes. And if you use your hand it will also be wrong because you hand could be big or small.
MS.39.420.1	MS_39	2.0	So you get correct measurements.
MS.39.435.1	MS_39	1.0	Because it is better using it so you will not get it wrong.
MS.39.463.1	MS_39	0.0	Because if you do not get the right answer. Because we are in the class. And we might in the same group in the class.
MS.39.486.1	MS_39	0.0	Because if you do not know how many to put.
MS.39.496.1	MS_39	1.0	Because if you do not use it will not be right.
MS.39.499.1	MS_39	2.0	If you do not they would know if you are talking centimeters, liters, milliliters, meters, kilograms, or grams.
MS.39.503.1	MS_39	0.0	Because you will learn metric unit faster.
MS.39.521.1	MS_39	2.0	So others know what you mean.
MS.39.523.1	MS_39	0.0	Well you cannot use straws.
MS.39.532.1	MS_39	1.0	So others will know.
MS.39.566.1	MS_39	1.0	So everybody get it right or get the same answer.
MS.39.592.1	MS_39	1.0	So that you can make an exact and accurate measurement.
MS.39.595.1	MS_39	0.0	Because if you used vials would be different sizes.
MS.39.607.1	MS_39	2.0	We use a standard unit so we do not get the measurement worth.
MS.39.115.1	MS_39	1.0	Because you could not make measurement without a standard unit.
MS.39.569.1	MS_39	1.0	If you have a standard measurement you can get the correct answer and you do not have the wrong answer.
MS.39.598.1	MS_39	1.0	We use a standard unit so we do not get the measurement wrong.
MS.39.600.1	MS_39	0.0	Because it is a standard unit.
