AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbj3-l1.qa49	SHORT_CIRCUIT_EXPLAIN_Q_2	1.0	because the two ends of the battery do not connect to one another
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbj3-l1.qa50	SHORT_CIRCUIT_EXPLAIN_Q_2	1.0	"the battery terminals don""t connect without any devices"
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbj3-l1.qa51	SHORT_CIRCUIT_EXPLAIN_Q_2	2.0	"there isn""t a closed path of the battery"
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbj7-l1.qa49	SHORT_CIRCUIT_EXPLAIN_Q_2	2.0	only one terminal of the battery is contained within the path and there is a bulb in the closed path
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbj7-l1.qa50	SHORT_CIRCUIT_EXPLAIN_Q_2	1.0	there are two components in the path
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbj8-l1.qa64	SHORT_CIRCUIT_EXPLAIN_Q_2	2.0	Because the battery is out of the closed path completely.
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbj8-l1.qa65	SHORT_CIRCUIT_EXPLAIN_Q_2	2.0	The battery is not contained in the closed path
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbj9-l1.qa53	SHORT_CIRCUIT_EXPLAIN_Q_2	2.0	The battery is not in a closed path.
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbj10-l1.qa58	SHORT_CIRCUIT_EXPLAIN_Q_2	0.0	circuit 2 has a bulb on a closed path
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbj10-l1.qa59	SHORT_CIRCUIT_EXPLAIN_Q_2	0.0	circuit 2 is connected to a terminal on the battery
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbj10-l1.qa60	SHORT_CIRCUIT_EXPLAIN_Q_2	0.0	circuit 2 is connected to the battery
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbj10-l1.qa61	SHORT_CIRCUIT_EXPLAIN_Q_2	2.0	the battery is not contained in a closed path
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbj11-l1.qa68	SHORT_CIRCUIT_EXPLAIN_Q_2	0.0	the only component in the closed path is the battery.
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbj11-l1.qa69	SHORT_CIRCUIT_EXPLAIN_Q_2	0.0	only one side of the battery is in the closed path
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbj11-l1.qa70	SHORT_CIRCUIT_EXPLAIN_Q_2	2.0	the battery is not in the closed path
