AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj3-l1.qa45	SHORT_CIRCUIT_X_Q	2.0	a short circuit
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj7-l1.qa45	SHORT_CIRCUIT_X_Q	2.0	the battery is dead
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj10-l1.qa53	SHORT_CIRCUIT_X_Q	2.0	the red x means short circuit
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj11-l1.qa64	SHORT_CIRCUIT_X_Q	2.0	battery is dead.
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj12-l1.qa43	SHORT_CIRCUIT_X_Q	2.0	Short circuit
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj13-l1.qa51	SHORT_CIRCUIT_X_Q	0.0	"don""t do it."
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj15-l1.qa67	SHORT_CIRCUIT_X_Q	2.0	the battery wont work
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj15-l1.qa68	SHORT_CIRCUIT_X_Q	2.0	the battery is damaged
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj18-l1.qa44	SHORT_CIRCUIT_X_Q	2.0	The battery is short circuited.
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj19-l1.qa58	SHORT_CIRCUIT_X_Q	2.0	bad
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj19-l1.qa59	SHORT_CIRCUIT_X_Q	2.0	dont do this
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj19-l1.qa61	SHORT_CIRCUIT_X_Q	2.0	battery is damaged
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj22-l1.qa51	SHORT_CIRCUIT_X_Q	0.0	it is not correct
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj22-l1.qa52	SHORT_CIRCUIT_X_Q	0.0	the battery is not connected correctly
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj24-l1.qa45	SHORT_CIRCUIT_X_Q	1.0	does not work
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj24-l1.qa46	SHORT_CIRCUIT_X_Q	0.0	wrong
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj24-l1.qa47	SHORT_CIRCUIT_X_Q	2.0	battery is ruined
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj26-l1.qa58	SHORT_CIRCUIT_X_Q	1.0	that the battery connection does not work
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj26-l1.qa59	SHORT_CIRCUIT_X_Q	0.0	that the battery needs a path to be connected
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj27-l1.qa50	SHORT_CIRCUIT_X_Q	2.0	"That the batter isn""t working."
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj27-l1.qa51	SHORT_CIRCUIT_X_Q	2.0	A red X means the battery is in a short circuit.
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj33-l1.qa51	SHORT_CIRCUIT_X_Q	2.0	the battery is bad
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj34-l1.qa40	SHORT_CIRCUIT_X_Q	2.0	the battery is a short circuit
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj35-l1.qa46	SHORT_CIRCUIT_X_Q	0.0	No electricity is being produced.
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj35-l1.qa47	SHORT_CIRCUIT_X_Q	0.0	It is an open path.
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj35-l1.qa48	SHORT_CIRCUIT_X_Q	0.0	It is wrong.
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj38-l1.qa42	SHORT_CIRCUIT_X_Q	2.0	The battery will not work.
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj38-l1.qa43	SHORT_CIRCUIT_X_Q	2.0	The battery is in a short circuit.
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj39-l1.qa52	SHORT_CIRCUIT_X_Q	0.0	No.
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj39-l1.qa54	SHORT_CIRCUIT_X_Q	2.0	I think that it means that the battery is damaged
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj43-l1.qa50	SHORT_CIRCUIT_X_Q	2.0	that the battery has created a short circut and is dangerous
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj43-l1.qa51	SHORT_CIRCUIT_X_Q	2.0	that the battery will not work
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj46-l1.qa49	SHORT_CIRCUIT_X_Q	2.0	battery is dead
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj47-l1.qa54	SHORT_CIRCUIT_X_Q	2.0	That the battery will not function
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj47-l1.qa55	SHORT_CIRCUIT_X_Q	2.0	The battery will be shot circuited
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbjb1-l1.qa37	SHORT_CIRCUIT_X_Q	2.0	It is short circuit and the battery life will die.
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbjb2-l1.qa44	SHORT_CIRCUIT_X_Q	1.0	That the circuit is bad.
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbjb4-l1.qa37	SHORT_CIRCUIT_X_Q	2.0	a short circuit has occured
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbjb5-l1.qa39	SHORT_CIRCUIT_X_Q	1.0	the red x means that the circuit is not safe.
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbjb6-l1.qa37	SHORT_CIRCUIT_X_Q	1.0	Bad.
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbjb7-l1.qa37	SHORT_CIRCUIT_X_Q	2.0	That battery is dead.
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbjb10-l1.qa37	SHORT_CIRCUIT_X_Q	2.0	It means that the battery will not work
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbjb13-l1.qa38	SHORT_CIRCUIT_X_Q	2.0	Short circuit or bad battery.
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbjb15-l1.qa39	SHORT_CIRCUIT_X_Q	2.0	the battery does not work
