AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj3-l1.qa79	SWITCH_OPEN_EXPLAIN_Q	1.0	it causes an open circuit
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj3-l1.qa80	SWITCH_OPEN_EXPLAIN_Q	2.0	it causes the path to be open
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj7-l1.qa77	SWITCH_OPEN_EXPLAIN_Q	2.0	it opens the path
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj8-l1.qa96	SWITCH_OPEN_EXPLAIN_Q	2.0	Because the electricity will not flow through the wires if the circuit path is incomplete.
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj8-l1.qa97	SWITCH_OPEN_EXPLAIN_Q	2.0	The bulbs will not be powered if the circuit path is incomplete.
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj9-l1.qa75	SWITCH_OPEN_EXPLAIN_Q	2.0	The open switch makes the circuit incomplete.
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj10-l1.qa96	SWITCH_OPEN_EXPLAIN_Q	2.0	it creates an open path
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj11-l1.qa97	SWITCH_OPEN_EXPLAIN_Q	0.0	because it causes a short circuit.
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj11-l1.qa99	SWITCH_OPEN_EXPLAIN_Q	1.0	because it blocks the charge of the circuit.
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj11-l1.qa100	SWITCH_OPEN_EXPLAIN_Q	0.0	because the the circuit is complete.
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj13-l1.qa90	SWITCH_OPEN_EXPLAIN_Q	1.0	it creates a gap in the current.
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj13-l1.qa91	SWITCH_OPEN_EXPLAIN_Q	2.0	it creates a gap int he circuit.
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj13-l1.qa92	SWITCH_OPEN_EXPLAIN_Q	2.0	it creates a gap in the circuit.
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj14-l1.qa89	SWITCH_OPEN_EXPLAIN_Q	2.0	Because it creates a gap, which opens a path.
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj15-l1.qa107	SWITCH_OPEN_EXPLAIN_Q	0.0	i have no idea
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj15-l1.qa108	SWITCH_OPEN_EXPLAIN_Q	0.0	a switch creates power
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj15-l1.qa109	SWITCH_OPEN_EXPLAIN_Q	0.0	a switch creates a closed circuit
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj15-l1.qa110	SWITCH_OPEN_EXPLAIN_Q	0.0	a switch creates a closed path
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj18-l1.qa76	SWITCH_OPEN_EXPLAIN_Q	1.0	It breaks the closed path.
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj18-l1.qa78	SWITCH_OPEN_EXPLAIN_Q	1.0	A switch creates a break in the closed path.
