AnswerId	PromptId	Score1	AnswerText
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj3-l1.qa140	TERMINAL_STATE_EXPLAIN_Q	2.0	because neither of them are recieving current
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj3-l1.qa141	TERMINAL_STATE_EXPLAIN_Q	1.0	both are on the same side of the circuit
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj3-l1.qa142	TERMINAL_STATE_EXPLAIN_Q	1.0	the terminals are connected to each other
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj7-l1.qa135	TERMINAL_STATE_EXPLAIN_Q	1.0	there is a gap
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj7-l1.qa136	TERMINAL_STATE_EXPLAIN_Q	1.0	there is a gap between the terminals
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj9-l1.qa133	TERMINAL_STATE_EXPLAIN_Q	0.0	1, 2, and 3 have 0 volts. The negative side of the battery begins at 0 volts.
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj10-l1.qa157	TERMINAL_STATE_EXPLAIN_Q	2.0	because bulbs are connected to the negative terminal of the battery
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj10-l1.qa158	TERMINAL_STATE_EXPLAIN_Q	1.0	because they are connected
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj11-l1.qa162	TERMINAL_STATE_EXPLAIN_Q	2.0	they are connected only to the negative side of the battery.
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj11-l1.qa163	TERMINAL_STATE_EXPLAIN_Q	1.0	the terminals are on the same side as the negative side of the battery.
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj11-l1.qa164	TERMINAL_STATE_EXPLAIN_Q	2.0	there is a gap, so the terminals are connected to the negative side of the battery.
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj11-l1.qa165	TERMINAL_STATE_EXPLAIN_Q	2.0	the terminals are connedted to the negative terminal of the battery.
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj12-l1.qa130	TERMINAL_STATE_EXPLAIN_Q	1.0	The damaged bulb B has left a gap in the path so the charge can not reach it
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj12-l1.qa132	TERMINAL_STATE_EXPLAIN_Q	1.0	The gap seperates the positive and negative charges
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj12-l1.qa133	TERMINAL_STATE_EXPLAIN_Q	0.0	Terminals 3 and 4 are seperated
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj13-l1.qa156	TERMINAL_STATE_EXPLAIN_Q	0.0	because they all have a 0.00 v
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj14-l1.qa155	TERMINAL_STATE_EXPLAIN_Q	1.0	Because there is a gap due to a damaged bulb.
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj15-l1.qa171	TERMINAL_STATE_EXPLAIN_Q	0.0	because they have 0 voltz
