AnswerId	PromptId	Score1	AnswerText
VB.15c.381.1	VB_15c	2.0	They need to have the same ball and throw the ball at the same place.
VB.15c.388.1	VB_15c	2.0	They need to use the same ball and they need to throw the same way.
VB.15c.394.1	VB_15c	2.0	They need to use the same ball and throw it from the same spot without running to the line, taking steps to the line, or one person just standing at the line.
VB.15c.399.1	VB_15c	2.0	Nobody get a running start and they all use the same ball to make it fair.
VB.15c.404.1	VB_15c	2.0	They need to throw the same kind of ball, they need to throw at the same place and they need to get the same speed.
VB.15c.407.1	VB_15c	0.0	They need the same kind of ball and with the same weight and to stand still when throwing the ball.
VB.15c.416.1	VB_15c	0.0	They need to have thrown it at the same place which they did they need one variable changed that could be different balls or the same ball but different size.
VB.15c.419.1	VB_15c	1.0	To make the balls the same thing so it is a fair game to play. Like a baseball, basketball or a football to throw.
VB.15c.423.1	VB_15c	1.0	Ling and Diana should change their experiments to a baseball because the baseball won.
VB.15c.432.1	VB_15c	1.0	To have the same ball and throw the same place. And the weight of the ball. And how hard you throw it.
VB.15c.440.1	VB_15c	2.0	The balls all need to be the same and they all have to stand and throw.
VB.15c.448.1	VB_15c	1.0	Make a line that is very straight. All use same ball. All stand at line. Throw at same time. Record data.
VB.15c.452.1	VB_15c	1.0	They need to use the same kind of balls and they need the same procedure of throwing.
VB.15c.462.1	VB_15c	2.0	Where they throw the ball, use the same ball, they all get a running start.
VB.15c.466.1	VB_15c	1.0	To make the contest a controlled experiment the girls need to take the same amount of steps.
VB.15c.475.1	VB_15c	1.0	The girls needed to change each variable at a time, like starting at the same position, all 3 of them, and the mass of the balls.
VB.15c.481.1	VB_15c	2.0	The girls have to have the same type of ball and also take the same amount of steps when they are throwing it.
VB.15c.486.1	VB_15c	1.0	They can just throw from the line and not run.
VB.15c.495.1	VB_15c	1.0	Use all of the same balls.
VB.15c.497.1	VB_15c	2.0	They have to have the same balls. They have to throw the ball in the same way.
VB.15c.503.1	VB_15c	1.0	First they all do the standard way then they throw the same ball and write then they do that again 2 times with the other balls then finally they write it and compare.
VB.15c.511.1	VB_15c	1.0	They needed to use their position.
VB.15c.523.1	VB_15c	1.0	They all have a ball and they all stand at the same place.
VB.15c.530.1	VB_15c	1.0	They should all stand at the line and throw.
VB.15c.533.1	VB_15c	1.0	Same ball and stand on the line.
VB.15c.535.1	VB_15c	0.0	The balls and the line that tells them to go.
VB.15c.537.1	VB_15c	0.0	They had to throw their ball first at the same time.
VB.15c.539.1	VB_15c	1.0	They should all start in the line.
VB.15c.542.1	VB_15c	1.0	What the 3 girls need to do is stand straight and same sized ball.
VB.15c.545.1	VB_15c	1.0	Throw the ball at the same time.
VB.15c.626.1	VB_15c	1.0	Stay at the line, use one ball, everyone get a 2 step, throw.
VB.15c.634.1	VB_15c	0.0	Same sized balls. Take 2 steps then throw.
VB.15c.636.1	VB_15c	1.0	They all needed to have the same ball.
VB.15c.638.1	VB_15c	2.0	They should all use the same ball they should all take 2 steps.
VB.15c.639.1	VB_15c	1.0	Do not take any steps, have the same kind of ball.
VB.15c.643.1	VB_15c	1.0	Starting in the same place. Using the same kind of ball.
VB.15c.384.1	VB_15c	2.0	They all should stand and throw the same ball to have a controlled experiment.
VB.15c.429.1	VB_15c	2.0	They could all go at the same speed and same distance to get to the line or they could use the same kind of ball.
VB.15c.628.1	VB_15c	1.0	They all had to bring the same kind of ball. And same weight.
VB.15c.632.1	VB_15c	1.0	Have the ball the same.
