AnswerId	PromptId	Score1	AnswerText
VB.5b.384.1	VB_5b	2.0	This graph tells me that the speed never changes.
VB.5b.388.1	VB_5b	1.0	How long it takes to get to the speed of light.
VB.5b.397.1	VB_5b	0.0	The speed of light is fast.
VB.5b.401.1	VB_5b	1.0	How fast the speed of light is.
VB.5b.406.1	VB_5b	0.0	It shows how fast the speed of light is.
VB.5b.416.1	VB_5b	1.0	This graph shows me the speed of the light and how long the speed was.
VB.5b.429.1	VB_5b	0.0	That there is average time and a lot of speed of light.
VB.5b.432.1	VB_5b	2.0	It tells me that the speed of light goes straight.
VB.5b.444.1	VB_5b	0.0	I think this graph tells me that the time is about 40 seconds and speed of light is about 25.
VB.5b.454.1	VB_5b	0.0	It tells you half of the speed of light.
VB.5b.462.1	VB_5b	1.0	This graph tells you how fast the speed of light is.
VB.5b.466.1	VB_5b	0.0	This graph tells you how fast the speed of light travels in a certain amount of time.
VB.5b.469.1	VB_5b	2.0	It does not matter how much you give it the speed of light goes just as fast.
VB.5b.475.1	VB_5b	0.0	It tells you the time and the speed of light.
VB.5b.489.1	VB_5b	2.0	As time goes on the speed of light stays the same.
VB.5b.495.1	VB_5b	0.0	As time goes on it is increasing.
VB.5b.496.1	VB_5b	0.0	As the time go on the speed of light get fast.
VB.5b.498.1	VB_5b	2.0	As time goes on the speed of light stays the same.
VB.5b.501.1	VB_5b	1.0	It is going on in seconds.
VB.5b.503.1	VB_5b	2.0	As time goes on the speed of light stay same.
VB.5b.506.1	VB_5b	0.0	As time goes on the speed of light goes faster.
VB.5b.511.1	VB_5b	0.0	As light turns itself it will move.
VB.5b.521.1	VB_5b	1.0	As time goes on the number goes to the middle.
VB.5b.523.1	VB_5b	1.0	As time goes on the speed of light is longer.
VB.5b.525.1	VB_5b	2.0	As time goes on the speed of light stays the same.
VB.5b.530.1	VB_5b	2.0	As time goes on the speed of light stays the same.
VB.5b.535.1	VB_5b	0.0	As time goes on it gets more speed.
VB.5b.537.1	VB_5b	1.0	As time goes on the speed of light will pass until it will be long.
VB.5b.539.1	VB_5b	2.0	As time goes on the speed of light stays the same.
VB.5b.542.1	VB_5b	2.0	As time goes on the speed of light is staying the same.
VB.5b.545.1	VB_5b	2.0	As time goes on the speed of light goes the same.
VB.5b.626.1	VB_5b	2.0	The speed of light is staying the same while the time is increasing.
VB.5b.628.1	VB_5b	0.0	I think the time is staying the same of speed of light.
VB.5b.632.1	VB_5b	2.0	That the speed of light does not move with time.
VB.5b.634.1	VB_5b	1.0	This stays the same.
VB.5b.643.1	VB_5b	2.0	Only the time is increasing but the light is the same.
VB.5b.423.1	VB_5b	0.0	How fast the light speeds and how many times it goes.
VB.5b.481.1	VB_5b	0.0	This graph shows that the light was getting lighter and lighter by the minute.
VB.5b.483.1	VB_5b	2.0	The speed of light does not change over time.
VB.5b.636.1	VB_5b	2.0	The light is staying the same and the time is increasing.
