AnswerId	PromptId	Score1	AnswerText
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj3-l1.qa177	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	the termials are the oppsite
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj3-l1.qa178	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	the terials are different
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj8-l1.qa205	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	The terminals are connected to each other
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj8-l1.qa206	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	the terminals are connected and the bulb is working
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj8-l1.qa207	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	There is no gap between the bulb terminal and the battery terminal
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj8-l1.qa208	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	the bulb is connected to the positive terminal
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj8-l1.qa209	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	i do not know
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj9-l1.qa174	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	the terminals are not connected to each other.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj10-l1.qa191	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	they are connected to the positive battery terminal
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj11-l1.qa199	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	there is a gap between the bulb terminal and the battery terminal.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj13-l1.qa200	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	there is no gap.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj13-l1.qa201	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	there is no gap between the positive battery terminal and the bulb terminal.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj13-l1.qa202	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	the terminals are connected to each other.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj15-l1.qa209	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	the terminal is connected to the battery terminal with a gapp
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj15-l1.qa210	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	there is a gap between the battery terminal and the bubl terminal
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj18-l1.qa168	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	The bulb terminal is not connected to the battery terminal.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj19-l1.qa224	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	the terminals are not connected
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj22-l1.qa193	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	a terminal is connected to the same states
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj23-l1.qa171	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	There is a difference in eletrical states.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj24-l1.qa199	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	the bulb terminal has no gap and the bulb will light
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj24-l1.qa200	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	the bulb will light
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj26-l1.qa205	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	a terminal is connected to a battery
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj26-l1.qa206	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	god
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj27-l1.qa188	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	the terminals are connected
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj27-l1.qa189	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	there is a gap
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj28-l1.qa187	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	the bulb terminals are not connected to the battery terminal
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj29-l1.qa186	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	they are not connected.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj30-l1.qa174	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	It tells you that it is connected to a negative battery terminal.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj30-l1.qa175	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	It tells you that is isi connected to a positive battery terminal.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj30-l1.qa176	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	It tells you that it is connected to a positive battery terminal.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj31-l1.qa187	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	the bulb terminal and the battery terminal are not connected
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj33-l1.qa178	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	they are connected to each other
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj33-l1.qa179	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	it is connected to the positive terminal
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj33-l1.qa180	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	asdff
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj33-l1.qa181	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	sdfdka
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj35-l1.qa185	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	The terminal is connected to a positive battery terminal.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj35-l1.qa186	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	The electrical states between two terminals.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj35-l1.qa187	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	The connection could be between a positive or negative battery terminal.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj36-l1.qa193	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	a terminal is connected to the negative battery terminal
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj36-l1.qa194	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	a terminal is connected to the positive battery terminal
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj36-l1.qa195	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	a terminal is connected to the opposite battery terminal
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj36-l1.qa196	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	a terminal is cnnected to the positive terminal
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj37-l1.qa167	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	the terminal is connected to the other battery terminal
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj37-l1.qa168	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	the terminal is not connected to the battery terminal
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj39-l1.qa209	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	the bulb terminal is connected to the battery terminal
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj40-l1.qa198	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	a reading of 1.5 volts means that the connection between the bulb terminal and the battery terminal  is closed.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj40-l1.qa199	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	the terminals are not connected.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj42-l1.qa183	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	There is a good connection between a bulb terminal and a battery terminal.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj42-l1.qa184	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	There is a connection between a bulb terminal and a battery terminal.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj42-l1.qa185	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	"I""m not sure of the answer!"
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj42-l1.qa186	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	There is a great connection between a bulb terminal and a battery terminal.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj46-l1.qa191	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	seperate from battery
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj47-l1.qa200	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	that it is connected to the positive terminal
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj47-l1.qa201	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	the bulb is connected to a positive terminal
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj47-l1.qa202	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	the connection is positive
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb2-l1.qa156	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	That they are connected to each other.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb4-l1.qa146	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	the terminals form a closed path
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb5-l1.qa155	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	the bulb is connected to the positive and negative terminals of the battery
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb7-l1.qa145	VOLTAGE_DIFF_DISCUSS_2_Q	1.0	They have different electrical states.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb10-l1.qa145	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	the terminals are not connected to each other and there is a positive and negative
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb12-l1.qa151	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	The is a gap between teh bulb terminal and the battery temrinal
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb13-l1.qa147	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	There is a gap.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb15-l1.qa147	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	that they are not connected
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb17-l1.qa149	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	The terminals are connected to different terminals of the battery
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb20-l1.qa157	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	There is voltage.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb21-l1.qa145	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	there is no gap
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb22-l1.qa156	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	the circuit is closed betweent the battery and the bulb and recieving electricity
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb25-l1.qa150	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	It is attatched to the correct side.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb26-l1.qa146	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	They are not connected to each other.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb27-l1.qa145	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	that the terminals are not connected to each other
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb28-l1.qa150	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	there is a difference in electrical states
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb31-l1.qa145	VOLTAGE_DIFF_DISCUSS_2_Q	1.0	the bulb is connected to the opposite terminal of the battery
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb32-l1.qa149	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	Their is a gap.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb34-l1.qa145	VOLTAGE_DIFF_DISCUSS_2_Q	1.0	The electrical states differ.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb36-l1.qa145	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	that the terminals are connected to each other
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb38-l1.qa146	VOLTAGE_DIFF_DISCUSS_2_Q	1.0	The bulb is connected to the opposite end of the battery
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb39-l1.qa147	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	That the terminals are not connected to each other.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb41-l1.qa148	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	They terminals are connected to each other.
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj7-l1.qa169	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	the terminals are not connected to each other
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj10-l1.qa192	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	the bulb is working
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj13-l1.qa203	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	"i don""t know."
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj27-l1.qa190	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	the terminals are separated by a gap
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj39-l1.qa206	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	teh terminals are connected to each other
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbj48-l1.qa172	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	they are separated
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb18-l1.qa157	VOLTAGE_DIFF_DISCUSS_2_Q	2.0	they are not connected to eachother
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb24-l1.qa153	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	its working
FaultFinding-VOLTAGE_DIFF_DISCUSS_2_Q.sbjb35-l1.qa146	VOLTAGE_DIFF_DISCUSS_2_Q	0.0	Both the bulb and battery terminals are connected to each other.
