AnswerId	PromptId	Score1	AnswerText
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj3-l1.qa173	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	2.0	if the voltage is not zero there is a difference in electrical states. If the voltage is zero there is no difference in electrical state
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj3-l1.qa174	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	0.0	if there is a measurement reading then the electrical states are opposite
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj7-l1.qa164	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	0.0	if the terminal is connected to the negative terminal, the reading will be 1.5V.  if the terminal is connected to the positive terminal, the reading will be 0 V.
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj7-l1.qa165	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	0.0	i do not know
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj7-l1.qa166	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	0.0	the electrical states are the same
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj8-l1.qa197	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	0.0	the volatge readings determines how much electricity
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj8-l1.qa198	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	0.0	the positive terminal has a higher electrical state than that of the negative terminal
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj8-l1.qa199	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	0.0	The positive terminal has higher electrical charge that that of the negative terminal
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj8-l1.qa200	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	0.0	the value of the measurement indicates its electrical capabilities
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj9-l1.qa167	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	0.0	the distance between the voltage terminals.
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj9-l1.qa168	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	0.0	the relationship between the voltage reading between two terminals and their electrical states is based on the distance between the terminals on the battery.
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj9-l1.qa169	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	1.0	the difference between the voltage terminals.
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj9-l1.qa170	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	0.0	the relationship between the voltage reading between two terminals and their elevtrical states is based on the difference between the terminals on the battery.
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj10-l1.qa186	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	2.0	it is the difference in voltage between the positive and negative terminals
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj10-l1.qa187	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	1.0	the difference between positive and negative
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj10-l1.qa188	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	2.0	the difference in voltage between the two terminals
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj10-l1.qa189	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	1.0	one is positive and one is negative
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj11-l1.qa194	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	0.0	0
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj11-l1.qa195	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	2.0	the difference of the electrical states of the terminals is the voltage.
FaultFinding-VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q.sbj11-l1.qa196	VOLTAGE_ELECTRICAL_STATE_DISCUSS_Q	1.0	the voltage reading is the difference between the electrical states of the terminal.
